gid,gisjoin,total_pop,native_pop,forgn_pop,forgn_pct,res_tickets
311,G17003102518005,1569,1569,0,0,8
766,G17003101202003,1258,1138,120,0.09539,1
2317,G17003107109001,880,880,0,0,1
1155,G17003103504001,1379,1371,8,0.0058,24
663,G17003106706002,721,721,0,0,6
115,G17003105703001,1625,877,748,0.46031,7
1992,G17003100105032,691,635,56,0.08104,37
208,G17003105103004,2419,2388,31,0.01282,21
1508,G17003108380002,1943,1847,96,0.04941,3
1618,G17003105603002,1357,805,552,0.40678,4
2320,G17003107110003,697,697,0,0,4
1035,G17003106202002,1556,974,582,0.37404,6
1494,G17003104908003,833,802,31,0.03721,2
1493,G17003104905002,1368,1303,65,0.04751,49
174,G17003104304003,926,908,18,0.01944,8
1227,G17003100714002,1817,1385,432,0.23775,1
1566,G17003101406024,1133,753,380,0.33539,12
1544,G17003104914003,1370,1328,42,0.03066,3
222,G17003104314002,1228,1078,150,0.12215,42
92,G17003103006001,1515,1023,492,0.32475,2
528,G17003108306002,1854,1262,592,0.31931,32
1039,G17003102516001,1316,1139,177,0.1345,1
1255,G17003102801001,4909,4301,608,0.12385,4
1170,G17003100313004,2427,1626,801,0.33004,181
1751,G17003101703005,1285,836,449,0.34942,30
2014,G17003106702001,985,922,63,0.06396,4
1474,G17003108368001,562,542,20,0.03559,1
814,G17003102001002,1438,830,608,0.42281,6
544,G17003102521011,1787,1766,21,0.01175,2
1113,G17003104903002,987,962,25,0.02533,2
1601,G17003105305013,650,650,0,0,1
890,G17003101904012,2635,1319,1316,0.49943,5
619,G17003106009002,821,548,273,0.33252,18
562,G17003108350001,864,860,4,0.00463,2
111,G17003104911002,893,893,0,0,2
206,G17003105102002,808,778,30,0.03713,1
237,G17003108392002,1277,1042,235,0.18403,58
360,G17003104603013,755,614,141,0.18675,26
1297,G17003104109002,517,396,121,0.23404,2
1886,G17003102315002,1291,1291,0,0,7
1617,G17003105602003,1356,1283,73,0.05383,2
906,G17003100208023,2364,1008,1356,0.5736,206
945,G17003100305004,1439,1230,209,0.14524,9
1731,G17003101605011,2286,1322,964,0.4217,12
1909,G17003101506004,984,786,198,0.20122,33
668,G17003100308004,1300,907,393,0.30231,9
1277,G17003100815001,1475,1141,334,0.22644,1
1752,G17003101704001,950,579,371,0.39053,26
1521,G17003106401001,1230,792,438,0.3561,4
124,G17003103007001,2303,1346,957,0.41554,2
561,G17003108351001,1298,963,335,0.25809,9
1121,G17003103108001,1316,730,586,0.44529,1
229,G17003108401001,722,302,420,0.58172,9
1272,G17003100810005,2473,1964,509,0.20582,4
1179,G17003100621003,1311,1136,175,0.13349,7
1044,G17003108419002,3315,2675,640,0.19306,3
1861,G17003102229001,878,685,193,0.21982,2
220,G17003104313012,1578,1522,56,0.03549,37
1016,G17003103819002,694,671,23,0.03314,7
2071,G17003103007002,1326,721,605,0.45626,1
166,G17003104302001,475,452,23,0.04842,5
2269,G17003106714001,929,887,42,0.04521,1
1218,G17003108348003,856,856,0,0,2
2043,G17003100206012,3127,1363,1764,0.56412,106
1257,G17003100206011,2177,1099,1078,0.49518,137
746,G17003101604001,2484,1487,997,0.40137,36
176,G17003104305002,1333,1153,180,0.13503,72
1444,G17003100814031,3006,2475,531,0.17665,23
2309,G17003107105001,980,980,0,0,3
884,G17003108316004,1037,820,217,0.20926,1
472,G17003102804001,1366,1328,38,0.02782,5
147,G17003105802002,1692,747,945,0.55851,3
1284,G17003101105014,396,274,122,0.30808,7
1849,G17003102211003,1094,1003,91,0.08318,3
911,G17003100304001,1536,1153,383,0.24935,10
